"id_cidade","descricao","fk_estado","cod_ibge","eh_capital","latitude","longitude"
180,Taboquinha (Arapiraca),2,,,,
11241,Canabrava Maranhão,10,,,,
719,Itapora (Muritiba),5,,,,
895,Paiol (Jacaraci),5,,,,
1067,Tanquinho do Poço (Andorinha),5,,,,
1241,Calabaça (Várzea Alegre),6,,,,
1585,Paripueira (Beberibe),6,,,,
1748,Trapiá (Sobral),6,,,,
2960,Conceição do Capim (Aimorés),11,,,,
3126,Florestina (Araguari),11,,,,
3488,Novilhona (Novo Cruzeiro),11,,,,
3811,Santo Hilário (Pimenta),11,,,,
4627,Emboraí (Augusto Corrêa),14,,,,
4796,São Luiz do Tapajós (Itaituba),14,,,,
5159,Barra de São Pedro (Ouricuri),16,,,,
5859,Bom Retiro (Guarapuava),18,,,,
6021,Dez de Maio (Toledo),18,,,,
6829,Vista Alegre (Enéas Marques),18,,,,
6990,Nossa Senhora da Aparecida (Sapucaia),19,,,,
7338,Marco Rondon (Pimenta Bueno),21,,,,
7345,Nova Vida (Ariquemes),21,,,,
7349,Pedras Negras (Costa Marques),21,,,,
7355,Príncipe da Beira (Costa Marques),21,,,,
7357,Riozinho (Cacoal),21,,,,
7364,Tabajara (Ariquemes),21,,,,
7370,Vila Extrema (Porto Velho),21,,,,
7372,Vista Alegre do Abunã (Porto Velho),21,,,,
7389,Afonso Rodrigues (São Luiz Gonzaga),23,,,,
7391,Águas Claras (Viamão),23,,,,
7394,Albardão (Rio Pardo),23,,,,
7398,Alfredo Brenner (Ibirubá),23,,,,
7402,Alto Alegre (Pedro Osório),23,,,,
7403,Alto da União (Ijuí),23,,,,
7405,Alto Paredão (Santa Cruz do Sul),23,,,,
7406,Alto Recreio (Ronda Alta),23,,,,
7407,Alto Uruguai (Três Passos),23,,,,
7413,Antônio Kerpel (Coronel Bicaco),23,,,,
7418,Arco Verde (Carlos Barbosa),23,,,,
7419,Arco-Íris (Erval Seco),23,,,,
7420,Arroio Canoas (Barão),23,,,,
7424,Arroio do Só (Santa Maria),23,,,,
7428,Arroio Grande (Santa Maria),23,,,,
7429,Arroio Grande (Selbach),23,,,,
7430,Árvore Só (Santa Vitória do Palmar),23,,,,
7432,Atafona (Santo Ângelo),23,,,,
7433,Atiaçu (Sarandi),23,,,,
7436,Avelino Paranhos (Espumoso),23,,,,
7437,Azevedo Sodré (São Gabriel),23,,,,
7438,Bacupari (Palmares do Sul),23,,,,
7440,Baliza (Gaurama),23,,,,
