id_natureza,codigo,glossario,nome,tipo_natureza,,
1838,"Art. 32, § 1°-A da LEI DOS CRIMES CONTRA O MEIO AMBIENTE","Praticar ato de abuso, maus-tratos, ferir ou mutilar animais silvestres, domésticos ou domesticados, nativos ou exóticos: § 1°-A Quando se tratar de cão ou gato, a pena para as condutas descritas no caput deste artigo será de reclusão, de 2 (dois) a 5 (cinco) anos, multa e proibição da guarda.",Maus tratos a animais - Quando se tratar de cão ou gato,Tipica,,
1212,"Art. 302, § 3° da  LEI DOS CRIMES DE TRÂNSITO - CTB","§ 3o  Se o agente conduz veículo automotor sob a influência de álcool ou de qualquer outra substância psicoativa que determine dependência:                   (Incluído pela Lei nº 13.546, de 2017) ",Praticar homicídio culposo na direção de veículo automotor:  Se o agente conduz veículo automotor sob a influência de álcool ou de qualquer outra substância psicoativa que determine dependência,Tipica,,
557,Art. 19 da LCP ,"Art. 19. Trazer consigo arma fora de casa ou de dependência desta, sem licença da autoridade:  Pena – prisão simples, de quinze dias a seis meses, ou multa, de duzentos mil réis a três contos de réis, ou ambas cumulativamente.","Trazer consigo arma fora de casa ou de dependência desta, sem licença da autoridade ",Tipica,,
88,"Art. 157, § 2° - A, Inc. I do CPB",A pena aumenta-se de 2/3 (dois terços): se a violência ou ameaça é exercida com emprego de arma de fogo,Roubo aumento de pena - emprego de arma de fogo.,Tipica,,
1128,"Morte ocorrida em razão de negligência, imprudência ou imperícia em que o agente não quis nem assumiu o risco de produzir a sua morte (Portaria nº 229 de dezembro de 2018 Ministério da Segurança Pública) ","Morte ocorrida em razão de negligência, imprudência ou imperícia em que o agente não quis nem assumiu o risco de produzir a sua morte.",Morte acidental - Outros,Atipica,,
1833,Art. 216-B,"Pena - detenção, de 6 (seis) meses a 1 (um) ano, e multa.","Produzir, fotografar, filmar ou registrar, por qualquer meio, conteúdo com cena de nudez ou ato sexual ou libidinoso de caráter íntimo e privado sem autorização dos participantes",Tipica,,
1834,Morte provocada por ato intencional de matar a si mesmo. Portaria nº 229 Ministério da Justiça e Segurança Pública.,Morte provocada por ato intencional de matar a si mesmo. Portaria nº 229 Ministério da Justiça e Segurança Pública.,Suicídio ,Atipica,,
979,Art. 56 - Caput - da LEI DOS CRIMES CONTRA O MEIO AMBIENTE,"Produzir, processar, embalar, importar, exportar, comercializar, fornecer, transportar, armazenar, guardar, ter em depósito ou usar produto ou substância tóxica, perigosa ou nociva à saúde humana ou ao meio ambiente, em desacordo com as exigências estabelecidas em leis ou nos seus regulamentos:","Produzir, processar, embalar, importar, exportar, comercializar, fornecer, transportar, armazenar, guardar, ter em depósito ou usar produto ou substância tóxica, perigosa ou nociva à saúde humana ou ao meio ambiente, em desacordo com as exigências estabelecidas em leis ou nos seus regulamentos",Tipica,,
1835,"Art. 157, § 2°, Inc.VII do CPB",VII - se a violência ou grave ameaça é exercida com emprego de arma branca,Roubo com emprego de arma branca,Tipica,,
1507,,,Cumprimento de mandado - Prisão,Atipica,,
192,Art. 244-B do ECA,Induzir alguém menor de 14 (catorze) anos a satisfazer a lascívia de outrem:,Corrupção de menores (<14 anos),Tipica,,
